Titel,Datum,Plaats van publicatie,Publicatie,Publicatietype,Lengte,Sectie,Lengte.1,Landen,Auteur,Agg-copyright,Cite,Bedrijf,Titel.1,Hlead,Publicatie.1,Publicatietype.1,Pub-copyright,Weergeven,Termen,Ticker,Hyperlink,Source,Publicatie_unique,YearMonth,Article_ID
Filosoof waarschuwt voor wokisme: ’Studenten noemen mij racistisch en homofoob’ Woordenboek,2022-04-11,International,De Telegraaf.nl,News,1030,BINNENLAND; FRONTPAGE,1030,"Netherlands, Kingdom of the",Wierd Duk,,,,Filosoof waarschuwt voor wokisme: ’Studenten noemen mij racistisch en homofoob’ Woordenboek,"Filosoof waarschuwt voor wokisme: ’Studenten noemen mij racistisch en homofoob’ Woordenboek Er waart een spook door het Westen, waarschuwt schrijver en filosoof Floris van den Berg: het wokisme. Politiek, onderwijs, cultuur en media worden geïnfiltreerd door een ’extreemlinkse ideologie’. Hij stelde een kritisch wokewoordenboek samen. „Men begrijpt niet hóe radicaal en intolerant woke is. ” Ruzies over Zwarte Piet. Discussies over ons koloniale- en slavernij-verleden en de samenstelling van museale collecties. Debatten over quota voor minderheden. Over genderneutrale toiletten en transgender-activisme. Over het censureren van de taal: negerzoen en jodenkoek zouden niet meer mogen. Een vrouw is nu een ’mens met baarmoeder’. De meeste Nederlanders halen hun schouders op. Maar er zit een verhaal achter, weet filosoof Floris van den Berg (49), universitair docent aan de Universiteit Utrecht . En dat is woke. Van den Berg: „Woke is tegen elke nuance.”",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:656F-NM01-DY4K-S3M7-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2022-2024 hele sample.XLSX,Telegraaf,2022-04,1250
Geachte redactie,2022-09-28,International,de Volkskrant,News,515,Opinie;Blz. 29,515,"Netherlands, Kingdom of the",,,,,Geachte redactie,"Geachte redactie Dank voor het feitelijke artikel over de Transgenderwet (Ten eerste, 27/9). Jammer dat dit te laat kwam voor mevrouw Klijnsmit, schrijver van het opiniestuk over twijfelende pubers op dezelfde dag, gezien de onjuistheden in haar stuk. Voor transgender personen is er rekening gehouden bij bevolkingsonderzoeken, hierover heeft het RIVM een folder uitgegeven. Ook met de nieuwe wet mogen jongeren tot 16 jaar niet zomaar zelf over hun geslachtsverklaring bepalen (dat is aan de rechter). En een medische transitie vergelijken met chemotherapie is onjuist en valt buiten de reikwijdte van het voorstel. Onomkeerbare transgenderzorg wordt hier niet bij jongeren tot 16 jaar uitgevoerd en transgender personen krijgen van de medische behandelingen een dragelijker leven. Suzanne Veerman, Rotterdam",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:66GK-T4V1-DYRY-X1C8-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2022-2024 1-200.XLSX,Volkskrant,2022-09,3310
Omstreden UvA-docent Laurens Buijs op non-actief gesteld na uitspraken op sociale media,2023-04-25,International,AD/Algemeen Dagblad.nl,News,450,,450,"Netherlands, Kingdom of the",Janna Nieuwenhuijzen,,,,Omstreden UvA-docent Laurens Buijs op non-actief gesteld na uitspraken op sociale media,Omstreden UvA-docent Laurens Buijs op non-actief gesteld na uitspraken op sociale media De Universiteit van Amsterdam (UvA) heeft afstand genomen van de uitspraken van Laurens Buijs over zijn collega’s en andere wetenschappers en stelt de docent sociale wetenschappen op non-actief.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:683B-MGS1-DY0X-94VM-00000-00&context=1519360&sourcegroupingtype=G,AD 2022-2023 hele sample.XLSX,Algemeen Dagblad,2023-04,268
"Victoria's Secret wordt inclusiever en wil lingerie maken die vrouwen, niet mannen, wensen",2021-06-18,International,de Volkskrant,News,432,Ten Eerste;Blz. 2,432,"Netherlands, Kingdom of the",CÉCILE NARINX,,,,"Victoria's Secret wordt inclusiever en wil lingerie maken die vrouwen, niet mannen, wensen","Victoria's Secret wordt inclusiever en wil lingerie maken die vrouwen, niet mannen, wensen Tweeënhalf jaar na het tumult over zijn misogyne en te weinig inclusieve imago slaat Victoria's Secret terug. Het Amerikaanse lingeriemerk presenteert maar liefst zeven 'inclusiviteitsambassadeurs'. Victoria's Secret gaat zich herprofileren als vrouwvriendelijk en inclusief lingeriemerk. Er is een team van zeven bekende vrouwelijke boegbeelden samengesteld om het Amerikaanse bedrijf een moderner en positiever imago te geven. In dat team zitten onder meer de lesbische voetballer Megan Rapinoe, het biraciale plussize-model Paloma Elsesser en het uit Zuid-Soedan gevluchte topmodel Adut Akech. Dat is nieuws, wonderlijk nieuws zelfs, want als er één merk het stempel oubollig, stereotype en alleen draagbaar voor levende barbiepopjes had, dan was het Victoria's Secret wel.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:62Y1-DDC1-JC8X-627M-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,2021-06,1136
Het zou normaal moeten zijn dat je de rollen eens omdraait' SPITSUUR,2024-09-07,International,NRC,News,1265,ECONOMIE;Blz. 12,1265,"Netherlands, Kingdom of the",Colin van Heezik,,,,Het zou normaal moeten zijn dat je de rollen eens omdraait' SPITSUUR,"Het zou normaal moeten zijn dat je de rollen eens omdraait' SPITSUUR ABSTRACT Milou Verhoeks heeft een recruitmentbedrijf en organiseert daarnaast missverkiezingen. Jonathan Daane Bolier is chef-kok en zorgt momenteel voor de kinderen. ,,Ons recept? Ik doe mijn ding en zij ook."" Jonathan: ,,Ik heb jarenlang fulltime als chef-kok gewerkt, maar sinds twee jaar ben ik grotendeels huisman. Ik werk nu gemiddeld nog vijf uur per week als chef-kok, op freelancebasis. Ik doe alleen de projecten die ik leuk vind. En met die vijf uur per week verdien ik evengoed nog een modaal salaris."" Milou: ,,Ik heb een paar bedrijven en werk zestig tot zeventig uur per week. In plaats van tv-kijken ga ik liever werken."" Jonathan: ,,Ik vind het leuk om wat meer van de kinderen mee te krijgen.""",NRC,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CX3-CK51-F03R-S19W-00000-00&context=1519360&sourcegroupingtype=G,NRC 2022-2024 hele sample.XLSX,NRC,2024-09,2087
Trump lijdt nieuwe nederlaag: rechter verbiedt beperkingen voor Amerikaanse lhbt’ers,2020-09-03,International,De Volkskrant.nl,News,222,,222,"Netherlands, Kingdom of the",Redactie,,,,Trump lijdt nieuwe nederlaag: rechter verbiedt beperkingen voor Amerikaanse lhbt’ers,Trump lijdt nieuwe nederlaag: rechter verbiedt beperkingen voor Amerikaanse lhbt’ers Een federale rechter in de Verenigde Staten heeft een maatregel verboden die negatieve gevolgen heeft voor lhbt’ers. Dat is een nederlaag voor de Amerikaanse president die zorgaanbieders wilde toestaan om zorgverlening aan lhbt’ers te weigeren om religieuze redenen.,De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60RP-WC01-DY0X-9288-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,2020-09,1041
"Wijziging transgenderwet wankelt: ‘Wij twijfelen, de drempel voor ander geslacht in paspoort is al laag’",2022-09-27,International,AD/Algemeen Dagblad.nl,News,574,,574,"Netherlands, Kingdom of the",Niels Klaassen,,,,"Wijziging transgenderwet wankelt: ‘Wij twijfelen, de drempel voor ander geslacht in paspoort is al laag’","Wijziging transgenderwet wankelt: ‘Wij twijfelen, de drempel voor ander geslacht in paspoort is al laag’ Een meerderheid voor de wijziging van de transgenderwet raakt uit zicht. Coalitiepartij CDA is tegen, de VVD blijkt ook uiterst kritisch. Het kabinetsplan om de geslachtskeuze in het paspoort te vereenvoudigen, wankelt daardoor.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:66GJ-3HB1-DY0X-90BK-00000-00&context=1519360&sourcegroupingtype=G,AD 2022-2023 hele sample.XLSX,Algemeen Dagblad,2022-09,159
Er zijn altijd lieden te vinden die zich fanatiek willen bemoeien met het lichaam van een ander,2022-09-12,International,De Volkskrant.nl,News,599,,599,"Netherlands, Kingdom of the",Ibtihal Jadib,,,,Er zijn altijd lieden te vinden die zich fanatiek willen bemoeien met het lichaam van een ander,"Er zijn altijd lieden te vinden die zich fanatiek willen bemoeien met het lichaam van een ander Ik zag een reclameposter met de tekst ‘De nieuwe transgenderwet raakt iedereen!’ O jee, dacht ik bevreesd, terwijl ik de ophef tegemoet googelde op m’n telefoon. Het bleek te gaan over een wetsvoorstel om het geslacht in je paspoort voortaan makkelijker te veranderen.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:66CC-MVR1-DY0X-93SS-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2022-2024 1-200.XLSX,Volkskrant,2022-09,3292
Feministische filosoof gecanceld door trans lobby Kathleen Stock tegen gebruik wc door transgender vrouwen,2021-10-13,International,De Telegraaf.nl,News,727,BUITENLAND; FRONTPAGE,727,"Netherlands, Kingdom of the",Joost van Mierlo,,,,Feministische filosoof gecanceld door trans lobby Kathleen Stock tegen gebruik wc door transgender vrouwen,"Feministische filosoof gecanceld door trans lobby Kathleen Stock tegen gebruik wc door transgender vrouwen De straatvechters van de Britse ontkenningsbeweging hebben een nieuw slachtoffer in het vizier. Het gaat om Kathleen Stock, hoogleraar Filosofie aan de Universiteit van Sussex. Ze heeft het gewaagd om te stellen dat transgender vrouwen niet zomaar gebruik mogen maken van vrouwentoiletten en zeker niet opgenomen moeten worden in vrouwengevangenissen. Dat is haar nu op bedreigingen komen te staan. „Stock Out’, Stock Out”, schreeuwen talloze stickers op de Falmer-campus van de universiteit van Sussex, iets ten oosten van Brighton. Het heeft niets te maken met de ’Out of Stock’-mededelingen op tal van lege schappen in supermarkten. Nee, een klein maar rumoerig deel van de studentengemeenschap wil dat Kathleen Stock vanwege haar ’transfobische’ gedachtegoed wordt ontslagen.",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63V4-2T61-JBNJ-2505-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2021-10,2782
Negeer de conflicten rondom diversiteit niet,2021-11-16,International,NRC.nl,News,776,,776,"Netherlands, Kingdom of the",Maxim Februari,,,,Negeer de conflicten rondom diversiteit niet,"Negeer de conflicten rondom diversiteit niet Die progressieve wereld zal moeten inzien dat ieders identiteitsontwikkeling een groot avontuur is en dat mensen waarde hechten aan de identiteit die eruit tevoorschijn komt, schrijft Maxim Februari. Conflicten rondom de verschillen negeren is niet de beste invulling van diversiteitsbeleid. In 1992 werd de organisator van de Feministische Boekenbeurs fysiek bedreigd door Amerikaanse feministen in de Beurs van Berlage. De vrouwen eisten onder andere de komst van lesbische wc’s. Tien jaar later vroeg een interviewer de organisator waarom ze geen lesbische en feministische manifestaties meer organiseerde. „Ik wil nooit meer blootgesteld worden aan die terreur. Ik denk dat ik niet de enige ben die is opgehouden met organiseren. De vijandigheid is zo groot.” Ik kan me dit zo goed herinneren omdat ik toen alweer jaren samenleefde met de feministische organisator: af en toe kreeg ik de onvriendelijke brieven te zien die arriveerden. Ik dacht eraan terug nu ik dagelijks vragen krijg over de grimmigheid van het debat rondom sekse en gender. Het ontslag van hoogleraar filosofie Kathleen Stock aan de universiteit van Sussex heeft ook in Nederland voor onrust gezorgd. De feministische en lesbische Stock werd bedreigd omdat ze uitspraken zou hebben gedaan die beledigend zijn voor transgenders. Ze gaf uiteindelijk haar positie op.",NRC.nl,Web Publication,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6439-SNH1-DY4K-81WR-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2021-11,3125
